team,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14
Atlanta Hawks,1,1,1,4,4,4,4,4,4,4,4,4,4,1
Boston Celtics,4,2,1,4,4,4,4,4,4,1,4,4,4,4
New Jersey/Brooklyn Nets,4,4,4,2,2,1,2,2,4,4,4,1,1,2
Charlotte Bobcats/Hornets,1,1,2,2,3,4,2,1,1,4,2,4,3,3
Chicago Bulls,4,4,4,2,4,4,4,4,4,4,4,3,4,2
Cleveland Cavaliers,3,4,4,4,4,4,1,1,1,2,4,4,4,4
Dallas Mavericks,4,4,4,4,4,4,4,4,3,4,4,4,2,1
Denver Nuggets,4,4,4,4,4,4,4,4,4,3,2,2,3,3
Detroit Pistons,4,4,4,4,4,2,2,2,2,2,2,4,3,3
Golden State Warriors,2,2,4,3,2,1,3,2,4,4,4,4,4,4
Houston Rockets,4,2,4,4,4,3,3,3,4,4,4,4,4,4
Indiana Pacers,4,4,3,3,3,2,4,4,4,4,3,4,4,4
Los Angeles Clippers,3,4,3,2,1,2,2,4,4,4,4,4,4,3
Los Angeles Lakers,2,4,4,4,4,4,4,4,4,2,1,1,1,2
Memphis Grizzlies,4,4,1,1,2,3,4,4,4,4,4,4,4,1
Miami Heat,4,4,4,1,4,4,4,4,4,4,2,4,3,4
Milwaukee Bucks,2,4,1,2,3,4,2,3,4,1,4,2,4,4
Minnesota Timberwolves,3,2,2,1,1,1,1,2,2,3,1,1,2,4
New Orleans/Oklahoma City Hornets/Pelicans,1,3,3,4,4,3,4,1,1,2,4,2,2,4
New York Knicks,2,1,2,1,2,2,4,4,4,3,1,2,2,2
Seattle SuperSonics/Oklahoma City Thunder,4,2,1,1,1,4,4,4,4,4,3,4,4,4
Orlando Magic,3,3,4,4,4,4,4,4,1,1,1,3,1,1
Philadelphia 76ers,4,3,3,4,4,2,4,4,3,1,1,1,1,4
Phoenix Suns,4,4,4,4,3,4,3,3,1,3,3,1,1,1
Portland Trail Blazers,1,1,2,3,4,4,4,3,2,4,4,4,4,4
Sacramento Kings,4,4,2,3,1,1,1,1,2,2,2,2,2,2
San Antonio Spurs,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Toronto Raptors,2,1,4,4,2,3,1,2,3,4,4,4,4,4
Utah Jazz,1,3,4,4,4,4,3,4,3,1,3,3,4,4
Washington Wizards,4,4,4,4,1,1,1,1,2,4,4,3,4,4
