team,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21,year_22,year_23,year_24,year_25,year_26,year_27,year_28,year_29,year_30,year_31,year_32,year_33,year_34
Atlanta Hawks,2,4,4,4,3,2,3,2,3,4,3,4,4,3,4,1,1,2,2,1,1,1,1,3,4,4,4,3,3,3,5,4,3,1
Boston Celtics,7,7,6,6,3,3,4,4,3,2,3,2,1,2,2,2,2,5,4,3,3,2,1,7,4,6,4,5,3,1,3,3,5,5
New Jersey/Brooklyn Nets,3,3,1,1,1,1,1,3,3,3,2,2,2,3,1,2,2,6,6,4,3,4,4,2,2,1,2,2,3,4,3,1,1,2
Charlotte Bobcats/Hornets,1,1,1,2,4,2,3,2,3,4,2,3,4,4,1,1,2,2,2,3,2,1,1,3,2,3,2,2,,,,,,
Chicago Bulls,3,3,3,4,5,5,7,7,7,4,4,7,7,7,1,1,1,1,2,1,3,3,4,2,3,3,5,3,4,3,4,2,3,2
Cleveland Cavaliers,3,1,2,3,3,3,2,5,4,3,3,3,2,3,2,2,2,2,1,2,2,4,6,4,5,4,1,1,1,2,6,7,6,6
Dallas Mavericks,3,4,3,5,2,3,2,1,1,1,2,2,2,2,2,2,4,4,5,3,4,6,3,3,4,3,7,3,2,3,3,3,2,1
Denver Nuggets,5,4,3,4,3,3,1,1,2,4,3,2,1,1,1,2,2,1,1,3,3,3,3,3,5,3,3,3,3,2,2,2,2,2
Detroit Pistons,4,3,5,5,7,7,5,3,2,1,2,3,3,2,3,3,2,4,5,7,6,5,5,5,3,2,2,2,2,2,2,3,2,2
Golden State Warriors,1,1,4,1,4,2,4,3,2,3,1,2,2,1,2,1,1,1,2,2,2,2,4,2,2,1,2,2,4,3,7,6,7,7
Houston Rockets,3,6,4,3,3,3,3,2,4,7,7,4,5,3,3,2,2,1,2,3,3,2,3,3,4,2,2,2,3,3,5,3,4,5
Indiana Pacers,1,1,3,2,2,3,3,3,3,5,5,3,2,5,5,6,3,3,3,5,4,3,2,2,2,2,3,4,5,5,2,3,3,3
Kansas City/Sacramento Kings,2,3,1,1,2,2,1,2,1,2,2,3,2,2,3,3,4,5,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2
Los Angeles Clippers,1,2,1,1,1,2,2,3,3,2,1,2,3,1,1,1,2,2,1,1,2,4,2,2,1,2,2,4,3,4,4,3,3,2
Los Angeles Lakers,6,5,7,7,6,4,6,3,3,2,4,3,4,5,4,7,7,7,4,6,2,3,3,6,7,7,4,4,3,2,1,1,1,2
Vancounver/Memphis Grizzlies,1,1,1,1,1,1,1,2,3,3,3,1,1,2,2,4,3,5,3,4,3,3,1,,,,,,,,,,,
Miami Heat,1,1,1,3,2,3,2,3,5,3,3,4,3,2,1,4,5,7,3,1,3,3,6,7,7,6,2,4,2,3,,,,
Milwaukee Bucks,4,5,4,3,4,3,3,2,2,1,2,1,2,2,3,3,5,2,3,3,2,3,1,2,2,3,2,2,3,1,3,2,3,3
Minnesota Timberwolves,1,2,1,1,1,1,1,3,3,3,3,3,3,3,5,2,2,2,1,1,1,1,2,2,2,1,1,2,3,,,,,
New Orleans/Oklahoma City Hornets/Pelicans,3,3,1,2,2,4,3,2,3,1,1,2,3,2,2,4,,,,,,,,,,,,,,,,,,
New York Knicks,1,1,1,3,4,4,3,4,5,6,4,4,4,4,6,5,3,2,2,3,2,1,2,1,2,2,3,3,4,2,1,2,2,2
Seattle SuperSonics/Oklahoma City Thunder,1,2,5,3,4,2,3,4,5,3,3,6,4,4,2,3,2,3,2,2,4,2,1,1,1,3,5,6,4,5,2,5,3,3
Orlando Magic,1,2,1,2,3,6,5,3,2,3,2,3,3,3,1,2,2,3,4,6,5,3,3,1,1,1,2,1,1,,,,,
Philadelphia 76ers,5,4,3,2,3,4,4,2,1,2,1,1,1,2,4,4,6,3,4,2,3,2,2,3,3,2,3,4,2,1,1,1,1,4
Phoenix Suns,3,2,2,1,5,5,3,4,6,4,4,3,3,3,3,4,3,2,3,2,5,5,4,3,2,5,2,2,1,2,2,1,1,1
Portland Trail Blazers,4,3,3,3,3,6,5,6,3,3,3,3,3,3,5,5,3,3,3,2,1,1,2,2,3,3,3,2,2,4,3,4,3,3
San Antonio Spurs,3,3,1,3,1,4,3,3,4,3,5,4,1,4,7,3,5,4,7,4,7,4,7,5,3,4,3,5,6,7,3,4,5,3
Toronto Raptors,1,2,1,2,3,4,3,1,2,2,1,3,3,2,2,1,2,2,3,3,5,4,4,,,,,,,,,,,
Utah Jazz,4,3,3,4,3,3,4,5,3,5,3,5,6,6,4,4,3,3,3,2,1,2,5,4,3,4,2,3,2,1,2,2,4,4
Washington Bullets/Wizards,3,3,3,3,2,2,2,1,1,1,1,2,3,2,2,2,1,2,2,1,4,3,3,3,1,1,1,1,2,4,4,2,4,3
